"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Shanks","Bob","Robert (Bob) L Shanks","IQ10656143","1952","66","Male","","Ford Motor","11","Public Company","Industrial and Natural Resources ","  156,776.0 ","  45,371.2 ","  202,000 ","www.ford.com","Executive Vice President/Chief Financial Officer/Principal Financial Officer","","Yes","1-Dec-02","1-Jan-77","  15.7 ","  41.6 ","Internal","Vice President/Chief Accounting Officer/Controller","Accounting","NA","NA","NA","NA","Accounting","40","6","3","None","None","None","None","None","None","None","None","None","35","None","None","None","None","None","None","None","Industrial and Natural Resources ","None","None","None","41","None","None","US, Germany, UK","38","None","None ","None ","2","1","None ","None ","None ","None","Georgetown University ","NA","1975","No","NA","NA","Unknown"," American Graduate School of International Management (Thunderbird)  "
"","Guttman","Tim","Tim G Guttman","IQ2846702","1959","59","Male","","AmerisourceBergen","12","Public Company","Healthcare ","  153,143.8 ","  19,214.6 ","  19,500 ","www.amerisourcebergen.com","Executive Vice President/Chief Financial Officer","","Yes","1-May-12","1-Aug-02","  6.2 ","  16.0 ","Internal","Vice President/Corporate Controller/Acting Chief Financial Officer","Accounting","SYNCOR INTERNATIONAL CORP","Healthcare ","Public","Vice President - Finance/Controller ","Accounting","22","5","20","None","None","None","3","None","None","4","None","None","3","None","None","None","None","None","None","None","","19","None","4","None","None","None","US","22","None","None","None","None","None","None","None","None","None","Ohio State University ","Science","Unknown","Yes","Texas, University of Austin","NA","No","NA"
"","Olsavsky","Brian","Brian T Olsavsky","IQ271647597","1963","55","Male","","Amazon.com","8","Public Company","Consumer","  177,866.0 ","  811,103.5 ","  566,000 ","www.amazon.com","Senior Vice President/Chief Financial Officer","","Yes","1-Jun-15","1-Apr-02","  3.2 ","  16.3 ","Internal","Division Vice President/Division Chief Financial Officer","Divisional CFO","FISHER SCIENTIFIC INTERNATIONAL INC","Healthcare ","Public","Vice President - Finance","Other","22","2","None","None","None","3","None","None","None","1","None","None","18","None","None","None","None","None","None","None","","None","None","None","None","22","None","US","23","None","None","None","None","None","None","None","None","None","Pennsylvania State University ","Mechanical Engineering","1985","Yes"," Carnegie Mellon University, Tepper School of Business ","1989","No","NA"
"","Miller","Jamie","Jamie S Miller","IQ42622506","1969","49","Female","","General Electric","18","Public Company","Industrial and Natural Resources ","  121,252.0 ","  121,182.3 ","  313,000 ","www.ge.com","Senior Vice President and Chief Financial Officer","","Yes","1-Nov-17","30-Apr-08","  0.7 ","  10.2 ","Internal","Senior Vice President ","Non-Finance","ANTHEM INC","Financial Services","Public"," Senior Vice President/Chief Accounting Officer/Controller 

  ","Other","14","0.3","3","None","None","None","None","None","None","None","None","None","None","2","2","None","None","None","None","None","","None","2","None","10","2","None","US","14","None","None","None","None","None","None","None","None","None","Miami University","Accounting","1990","No","NA","NA","No","NA"
"","Ellis","Matt","Matthew (Matt) D Ellis","IQ232378078","1971","47","Male","","Verizon","16","Public Company","Technology ","  126,034.0 ","  203,228.6 ","  154,700 ","www.verizon.com","Executive Vice President/Chief Financial Officer","","Yes","1-Nov-16","1-Mar-13","  1.7 ","  5.4 ","Internal","Senior Vice President/Division Chief Financial Officer ","Divisional CFO","TYSON FOODS INC","Consumer","Public ","VP/Treasurer ","Treasury","10","2","None","None","None","None","None","None","None","3","4","None","2","3","None","None","None","None","None","None","","17","None","None","None","4","None","US","25","None","None","None","None","None","None","None","None","None","University of Birmingham ","Unknown","1992","No","NA","NA","No","NA"
"","Gomez","Jorge","Jorge M Gomez","IQ32724111","1967","51","Male","","Cardinal Health","14","Public Company","Healthcare ","  129,976.0 ","  16,617.7 ","  50,000 ","www.cardinalhealth.com","Chief Financial Officer","","Yes","1-Jan-18","1-Jan-06","  0.6 ","  12.6 ","Internal","Senior Vice President/Division Chief Financial Officer/Treasurer","Treasury","GENERAL MOTORS CORP","Industrial and Natural Resources ","Public","Treasurer, General Manager & GMAC Brazil","Treasury ","22","0.3","12","1","1","6","2","None","10","None","21","5","11","None","None","None","None","3","None","None","Healthcare, Industrial and Natural Resources, Consumer & Technology","2","None","12","9","1","None","US, Brazil, Belgium, Singapore and Colombia","15","None","None","8","None","1","None","2","None","None","National University of Colombia","Electrical Engineering","1991","Yes","University of Hartford","1994","No","NA"
"","Galanti","Richard","Richard A Galanti","IQ200007","1956","62","Male","American","Costco Wholesale Corporation","15","Public Company","Consumer","  129,025.0 ","  89,445.3 ","  182,000 ","www.costco.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-85","1-Mar-84","  33.6 ","  34.4 ","Internal","Vice President - Finance","Other","Lufkin & Jenrette Securities Corp","Financial Services","Private","Associate ","Other","34","25","Unknown","Unknown","Unknown","None","Unknown","None","None","1","8","None","24","None","None","None","None","None","None","None","","34","6","None","None","None","None","US","35","None","None","None","None","None","None","None","None","Executive Vice President/Chief Financial Officer, COSTCO WHOLESALE CORP, 1993","Wharton School, University of Pennsylvania ","Economics","1978","Yes","Stanford University, Graduate School of Business","1982","No","NA"
"","Fairweather","George","George Rollo Fairweather","IQ285654797","1958","60","Male","British","Walgreen Boots Alliance","19","Public Company","Consumer","  118,214.0 ","  63,751.1 ","  290,000 ","www.walgreensbootsalliance.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kehoe","James ","James Kehoe","","1962","56","Male","","Walgreen Boots Alliance","","Public Company","Consumer","  118,214.0 ","  63,751.1 ","  290,000 ","www.walgreensbootsalliance.com","Executive Vice President and Global Chief Financial Officer","","No","1-Jun-18","1-Jun-18","  0.1 ","  0.1 ","External","NA","NA","TAKEDA PHARMACEUTICAL CO LTD ","Healthcare","Public","Corporate Officer, Chief Financial Officer and Executive Director","CFO/FD","34","3","5","1","None","None","8","None","None","8","2","2","2","None","None","None","None","None","None","None","","31","None","2","None","None","None","US, Japan, and Singapore","30","None","None","None","None","None","None","4","None","None","National University of Ireland","Business and Commerce","1983","Yes","University College Dublin ","1988","No","NA"
"","Schlotman","Mike","John (Mike) Michael Schlotman","IQ284349","1957","61","Male","","Kroger","17","Public Company","Consumer","  122,662.0 ","  21,313.2 ","  449,000 ","www.thekrogerco.com","Executive Vice President/Chief Financial Officer","","Yes","26-Jan-00","1-Jan-85","  18.5 ","  33.6 ","Internal","Division Vice President/Controller ","Accounting","NA","NA","NA","NA","NA","28","17","10","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Consumer","33","None","None","None","None","None","US","33","None","None","None","None","None","None","None","None","None","University of Kentucky  ","Accounting","1979","No","NA","NA","No","NA"
"","Yarrington","Pat","Patricia (Pat) E Yarrington","IQ172778","1957","61","Female","American","Chevron","13","Public Company","Industrial and Natural Resources ","  127,485.0 ","  239,557.6 ","  51,900 ","www.chevron.com","Chief Financial Officer/Vice President, Finance","","Yes","1-Jan-09","1-Jan-80","  9.6 ","  38.6 ","Internal","Corporate Vice President and Treasurer ","Treasury","Unknown","Unknown","Unknown","Unknown","NA","23","9","None","None","None","None","None","9","None","None","2","None","11","None","None","None","None","None","None","None","Industrial and Natural Resources","None","30","None","8","None","None","US, Canada","18","20","None","None","None","None","None","None","None","None","Pomona College ","Unknown","1977","Yes","Kellogg School of Management ","1979","No","NA"
"","Benson","Doctor","Doctor David C Benson","IQ271190","1959","59","Male","","Fannie Mae","21","Public Company","Financial Services ","  25,263.0 ","  8,266.7 ","  7,200 ","www.fanniemae.com","Executive Vice President/Chief Financial Officer","","Yes","3-Apr-13","1-Jun-02","  5.3 ","  16.2 ","Internal","Executive Vice President, Capital Markets, Securitization & Corporate Strategy","Other","MERRILL LYNCH & CO INC","Financial Services","Public","Managing Director","Other","30","None","None","None","None","None","None","None","None","None","9","None","10","None","None","None","1","None","None","None","","None","30","None","None","None","None","US","30","None","None","None","None","None","None","None","None","None","University of California","Psychobiology","1981","Yes","Stanford University, Graduate School of Business","1988","Doctor of Medicine ,1985","HARVARD MEDICAL SCHOOL"
"","Lake","Marianne","Marianne Lake","IQ224397766","1970","48","Female","American","J.P. Morgan Chase & Co.","20","Public Company","Financial Services ","  93,689.0 ","  370,918.9 ","  253,707 ","www.jpmorganchase.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-13","13-Mar-00","  5.6 ","  18.4 ","Internal","Division Chief Financial Officer ","Divisional CFO","PricewaterhouseCoopers LLP","Technology","Partnership","Unknown","Unknown","22","5","5","None","None","8","None","None","None","None","None","None","16","Unknown","None","None","None","2","None","None","","None","18","3","None","None","None","US, UK and Australia","14","None","None","None","8","None","None","3","None","None","READING UNIVERSITY","Physics","Unknown","No","NA","NA","No","NA"
"","Havel","Jim","James (Jim) M Havel","IQ280905028","1954","64","Male","","Express Scripts Holding","25","Public Company","Healthcare ","  100,064.6 ","  43,363.9 ","  26,600 ","www.express-scripts.com","Executive Vice President/Chief Financial Officer","","No","24-Oct-17","1-Jan-15","  0.8 ","  3.6 ","Internal","Executive Vice President - Finance ","Other","Major Brands Holdings Inc","Industrial and Natural Resources ","Private","Chief Financial Officer","Other","42","1","None","34","None","None","None","None","None","1","None","None","6","34","None","None","None","None","None","None","","None","None","3","3","34","None","US","42","None","None","None","None","None","None","None","None","None","Regis University","Accounting","1976","No","NA","NA","No","NA"
"","Tomé","Carol","Carol B Tomé","IQ840950","1956","62","Female","American","Home Depot","23","Public Company","Consumer","  100,904.0 ","  222,400.1 ","  413,000 ","www.homedepot.com","Executive Vice President/Chief Financial Officer","","Yes","1-May-01","1-Jan-95","  17.2 ","  23.6 ","Internal","Senior Vice President, Treasurer","Treasury","Graphic Packaging International Inc","Industrial and Natural Resources ","Private"," VP/Treasurer  ","Treasury","37","11","1","None","None","None","None","None","None","None","8","None","6","None","None","None","None","None","None","None","Consumer","23","None","None","3","None","None","US","26","None","None","None","None","None","None","None","None","None","University of Wyoming","Science","1978","Yes","University of Denver","1981","No","NA"
"","Smith","Greg","Gregory (Greg) D Smith","IQ99204082","1966","52","Male","","Boeing","27","Public Company","Industrial and Natural Resources ","  93,392.0 ","  202,707.2 ","  140,800 ","www.boeing.com","Executive Vice President/Chief Financial Officer","","Yes","1-Feb-12","Unknown","  6.5 ","","Internal"," Vice President/Chief Accounting Officer/Controller  ","Accounting","NA","NA","NA","NA","Accounting","14","6","2","Unknown","5","None","2","4","None","None","10","None","None","None","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","Unable to calculate","None","None","US","Unable to calculate","None","None","None","None","None","None","None","None","None","Kennedy-Western University","Business Administration","Unknown","No","NA","NA","No","NA"
"","Shrewsberry","John","John Richard Shrewsberry","IQ261383867","1966","52","Male","American","Wells Fargo","26","Public Company","Financial Services ","  85,989.0 ","  266,596.9 ","  265,700 ","www.wellsfargo.com","Senior Executive Vice President/Chief Financial Officer","","Yes","15-May-14","1-May-01","  4.2 ","  17.2 ","Internal","Head - Corporate Banking","Other","American Commercial Capital LLC","Financial Services ","Private","Co Founder","Other","25","4","None","None","3","None","None","4","None","None","None","None","21","3","None","None","None","5","None","None","Financial Services and Technology","None","26","None","None","3","None","US","31","None","None","None","None","None","None","None","None","None","Claremont Mckenna College ","Economics ","1987","No","NA","NA","Masters of Public and Private Management, 1992","Yale University - Yale School of Management "
"","Donofrio","Paul","Paul M Donofrio","IQ79343933","1960","58","Male","","Bank of America Corp.","24","Public Company","Financial Services ","  83,956.0 ","  300,143.7 ","  208,000 ","www.bankofamerica.com","Chief Financial Officer","","Yes","1-Aug-15","1-Jan-99","  3.0 ","  19.6 ","Internal","Division Chief Financial Officer ","Divisional CFO","UBS Securities","Financial Services","Private "," Vice President and Managing Director","non-finance","11","3","None","None","None","1","None","None","None","None","None","None","8","None","None","5","1","2","None","None","","None","27","4","None","None","None","US and UK ","19","None","None","None","6","None","None","None","None","None","US (United States) Naval Academy - Annapolis","Science","Unknown","Yes","Chicago University ","Unknown","No","NA"
"","Porat","Ruth","Ruth M Porat","IQ302168981","1957","61","Female","American","Google/Alphabet","22","Public Company","Technology ","  110,855.0 ","  777,864.2 ","  85,050 ","www.abc.xyz","Senior Vice President/Chief Financial Officer","","No","26-May-15","26-May-15","  3.2 ","  3.2 ","External","NA","NA","Morgan Stanley","Financial Services ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","27","8","None","None","None","None","9","None","None","None","None","None","13","2","None","None","None","6","None","None","Financial Services","None","34","None","None","2","None","US and UK","22","None","None","None","12","None","None","None","None","None","Stanford University  ","Arts","1979","Yes","Wharton School, University of Pennsylvania ","1987","Masters of Science , 1981","London School of Economics "
"","Hood","Amy","Amy E Hood","IQ24560155","1971","47","Female","","Microsoft","30","Public Company","Technology ","  110,360.0 ","  765,767.2 ","  124,000 ","www.microsoft.com","Executive Vice President/Chief Financial Officer","","Yes","8-May-13","1-Dec-02","  5.2 ","  15.7 ","Internal","Corporate Vice President /Division Chief Financial Officer","Divisional CFO","Goldman Sachs & Co","Financial Services","Private","Associate, Investment Banking and Capital Markets","Other","18","7","None","None","None","2","None","2","None","None","None","None","5","None","None","2","None","8","None","None","","None","8","None","None","15","None","US","13","None","None","None","None","None","None","None","None","None","Duke University","Economics","1994","Yes","Harvard University","1999","No","NA"
"","Gallina","John","John Edward Gallina","IQ44002635","1959","59","Male","","Anthem","29","Public Company","Healthcare ","  90,048.6 ","  60,478.8 ","  56,000 ","www.antheminc.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jun-16","1-Jun-94","  2.1 ","  24.2 ","Internal","Senior Vice President/Division Chief Financial Officer ","Divisional CFO","Coopers & Lybrand LLP","Technology","Partnership ","Senior Audit Manager ","Other","22","2","4","1","None","2","None","None","None","None","None","None","2","12","None","None","None","None","None","None","","None","23","None","None","2","None","US","27","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Gerspach","John","John C Gerspach","IQ21788158","1953","65","Male","","Citigroup","32","Public Company","Financial Services ","  64,277.0 ","  174,433.6 ","  209,000 ","www.citigroup.com","Chief Financial Officer","","No","9-Jul-09","1-Jan-90","  9.0 ","  28.6 ","Internal","Chief Accounting Officer/Principal Accounting Officer/Controller","Accounting","Penn Central Industries Group","Technology","Private","Chief Financial Officer","Accounting","43","13","4","5","None","None","None","None","None","None","None","None","31","5","None","None","None","28","None","None","","None","28","None","10","5","None","US","43","None","None","None","None","None","None","None","None","None","University of Nôtre Dame  ","Business Administration","1975","No","NA","NA","No","NA"
"","Cavanagh","Mike","Michael (Mike) J Cavanagh","IQ183111112","1965","53","Male","American","Comcast","33","Public Company","Technology ","  84,526.0 ","  150,251.2 ","  164,000 ","corporate.comcast.com","Senior Executive Vice President/Chief Financial Officer","","No","1-Jul-15","1-Jul-15","  3.1 ","  3.1 ","External","NA","NA","CARLYLE GROUP LP","Financial Services","Public","Co-President/Co-Chief Operating Officer","Non-finance","22","9","None","None","None","None","2","None","None","6","4","None","23","None","None","2","None","16","None","None","","None","23","None","None","3","None","US","30","None","None","None","1","None","None","None","None","None","Yale University  ","Arts","1987","No","NA","NA","Juris Doctor","University of Chicago "
"","Kavanaugh","James","James J Kavanaugh","IQ44487463","1966","52","Male","","International Business Machines","34","Public Company","Technology ","  79,139.0 ","  131,995.2 ","  366,600 ","www.ibm.com","Senior Vice President/Chief Financial Officer","","Yes","11-Jan-18","1-Jan-96","  0.5 ","  22.6 ","Internal","Senior Vice President - Transformation ","Non-Finance","AT&T CORP","Technology","Public"," Chief Financial Officer, Americas Global Services ","Divisional Chief Financial Officer","25","0.3","10","None","None","3","None","None","None","2","None","None","13","None","None","None","None","None","None","None","","None","None","None","None","25","None","US","25","None","None","None","None","None","None","None","None","None","University of Dayton","Finance, General","1988","Yes","Ohio State University  ","1992","No","NA"
"","Farney","Jon","Jon Farney","","","Unknown","Male","","State Farm Insurance Cos.","36","Private Company","Financial Services ","  46,459.0 ","0","0","www.statefarm.com","Senior Vice President, Treasurer and Chief Financial Officer","","Yes","1-Jan-16","1-Jan-93","  2.6 ","  25.6 ","Internal","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Illinois State University","Accounting","Unknown","Yes","University of Michigan","Unknown","No","NA"
"","Mitchell","Kevin","Kevin John Mitchell","IQ321009546","1966","52","Male","","Phillips 66","28","Public Company","Industrial and Natural Resources ","  89,340.0 ","  53,374.7 ","  14,600 ","www.phillips66.com","Chief Financial Officer/Executive Vice President, Finance","","Yes","1-Jan-16","1-Jan-91","  2.6 ","  27.6 ","Internal","Vice President - Investor Relations","IR","NA","NA","NA","NA","NA","27","2","None","4","None","None","None","2","None","2","None","None","18","None","None","18","None","None","None","None","","None","None","None","27","None","None","US","27","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Caruso","Dominic","Dominic J Caruso","IQ32509533","1957","61","Male","","Johnson & Johnson","37","Public Company","Healthcare ","  76,450.0 ","  332,615.7 ","  134,000 ","www.jnj.com","Executive Vice President/Chief Financial Officer","","No","1-Jan-07","1-Jan-85","  11.6 ","  33.6 ","Internal","Vice President - Finance","Other","Thomson McLintock & Co","Technology ","Private","Trainee","Other","42","11","12","9","None","None","None","Unknown","None","19","None","9","20","Unknown","None","None","None","None","None","None","","None","None","33","None","9","None","US","42","None","None","None","None","None","None","None","None","None","Drexel University  ","Business Administration","1980","No","NA","NA","No","NA"
"","Moeller","Jon","Jon R Moeller","IQ36630524","1965","53","Male","American","Procter & Gamble","42","Public Company","Consumer","  65,058.0 ","  190,294.9 ","  95,000 ","www.pginvestor.com","Vice Chairman/Chief Financial Officer","","Yes","1-Jan-09","1-Sep-88","  9.6 ","  29.9 ","Internal","Vice President/Treasurer ","Treasury","NA","NA","NA","NA","NA","27","9","3","None","None","None","None","2","2","None","2","None","20","None","None","None","None","None","None","None","","30","None","None","None","None","None","US","30","None ","None ","None ","None ","None ","None ","None ","None ","None","Cornell University ","Biology","1986","Yes","Cornell University  ","1988","No","NA"
"","Titzman","Donna ","Donna M Titzman","","1977","55","Female","","Valero Energy","31","Public Company","Industrial and Natural Resources ","  88,407.0 ","  49,084.0 ","  10,015 ","www.valero.com","Executive Vice President and Chief Financial Officer","","Yes","1-Sep-13","1-Jan-86","  4.9 ","  32.6 ","Internal","Senior Vice President and Treasurer ","Treasury","NA","NA","NA","NA","NA","32","5","6","None","None","None","None","None","None","None","20","None","13","None","None","None","None","None","None","None","","None","None","None","32","None","None","US","32","None","None","None","None","None","None","None","None","None","University of Texas  ","Accounting","Unknown","No","NA","NA","No","NA"
"","Smith","Cathy","Catherine (Cathy) R Smith","IQ310386089","1963","55","Female","","Target","39","Public Company","Consumer","  71,879.0 ","  40,146.0 ","  345,000 ","investors.target.com","Executive Vice President/Chief Financial Officer","","No","1-Sep-15","1-Sep-15","  2.9 ","  2.9 ","External","NA","NA","Express Scripts Holding Co","Healthcare ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","31","11","1","1","None","4","None","None","None","None","None","None","17","None","None","None","4","None","None","None","Consumer, Industrial and Natural Resources ","9","None","None","22","None","None","US","32","None","None","None","None","None","None","None","None","None","University of California  ","Arts","1986","Yes","University of Southern California ","1988","No","NA"
"","Mackey","Jim","James (Jim) G Mackey","IQ250294043","1967","50","Male","","Freddie Mac","38","Public Company","Financial Services ","  16,244.0 ","  4,872.0 ","  6,165 ","www.freddiemac.com","Executive Vice President/Chief Financial Officer","","No","11-Nov-13","11-Nov-13","  4.7 ","  4.7 ","External","NA","NA","ALLY FINANCIAL INC","Financial Services","Public","Chief Financial Officer  ","CFO/FD","26","2","3","6","None","2","None","3","6","None","5","9","10","6","None","None","None","15","2","None","","None","20","None","None","6","None","US","25","None ","None ","None ","None ","None ","None ","None ","None ","None","University of North Carolina, Kenan Flagler Business School","Business Administration and Management, General","1989","No","NA","NA","Masters Degree, Accounting, 1992","University of North Carolina, Kenan Flagler Business School "
